period,wealth_q,n,mean_NIG,mean_inc,mean_nw,mean_LIQ,mean_resources,mean_coh,nig_over_nw,nig_over_inc,nig_over_resources,nig_over_coh,share_w_resources_le0,share_w_coh_le0,share_w_nw_le0,year0,year1,infl_cum
1999-2023,Q1,2730,-6679.998084106124,19165.931926214173,-2310.9758001950772,1084.4024499491634,16854.956126019093,20250.334376163337,NA,-0.34853500001059523,-0.3963224842688361,-0.32987100163487415,0.07342307432770935,0.00131687377437699,0.3693961806570873,1999,2023,0.6248113492303049
1999-2023,Q2,3026,-5018.509518348983,30808.18059543086,21888.33783109019,6115.820396862394,52696.51842652105,36924.00099229326,-0.22927778057320977,-0.16289535510880754,-0.09523417615049257,-0.1359145646051857,0,0,0,1999,2023,0.6248113492303049
1999-2023,Q3,3230,2338.062567832347,40296.96176976244,77385.02517170805,15418.746196179101,117681.9869414705,55715.70796594155,0.030213372195001136,0.05802081509744873,0.019867633344729213,0.04196415433259111,0,0.0018088533138642877,0,1999,2023,0.6248113492303049
1999-2023,Q4,3100,-6444.6195975102555,46003.83921259378,179131.00607950997,34436.16961509935,225134.84529210377,80440.00882769313,-0.03597713058480627,-0.14008873406691694,-0.028625598090551513,-0.08011709212159562,0,2.705005446841528e-4,0,1999,2023,0.6248113492303049
1999-2023,Q5,3847,127118.98169533606,60893.036534183026,656937.6188632454,101641.75726550515,717830.6553974284,162534.79379968817,0.1935023631548164,2.087578300089803,0.17708770270469484,0.7821031960209122,0,6.805933037317562e-4,0,1999,2023,0.6248113492303049
